id,brand,model,model_year,milage,fuel_type,engine,transmission,price
28,Toyota,Tacoma PreRunner,2008,244200,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,3499
29,Audi,A5 2.0T Premium,2013,11000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,17900
30,Audi,A3 2.0T Premium,2019,57550,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,39499
31,Mercedes-Benz,E-Class E 300,2021,17000,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,104900
32,Tesla,Model S P100D,2018,30300,,518.0HP Electric Motor Electric Fuel System,A/T,64000
33,Mercedes-Benz,E-Class E 350 4MATIC,2009,120000,,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,15000
34,Volkswagen,Jetta S,2019,22000,Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,87000
35,,528 i xDrive,2015,83424,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,23000
36,BMW,330 i xDrive,2019,7600,,,A/T,165000
37,,AMG G 63 Base,2020,20172,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,45000
38,Mercedes-Benz,,2016,67289,,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,28000
39,Buick,,2022,9642,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,63900
40,BMW,328 xi,2003,107818,Gasoline,,,12000
41,Ford,,2019,32437,Gasoline,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,A/T,30000
42,Chevrolet,Corvette Grand Sport,2014,55000,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,32000
43,Mercedes-Benz,AMG GT 53 Base,2022,10972,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,244896
44,Rivian,R1S Adventure Package,2023,7000,Gasoline,835.0HP Electric Motor Electric Fuel System,8-Speed A/T,145000
45,RAM,1500 Laramie,2022,27352,,5.7L V8 16V MPFI OHV,8-Speed Automatic,42599
46,,Corvette Base,2007,171896,,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,10000
47,BMW,,2015,62500,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,49999
48,Hummer,H2 Base,,137405,Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,26500
49,Alfa,Romeo Stelvio Ti Sport,2020,33060,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,34500
50,,QX60 Base,2016,49000,,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,21000
51,Tesla,Model 3 Long Range,2020,38360,,Dual Motor - Standard,Automatic,59598
52,,Model X 75D,2021,88000,,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,53600
53,,Genesis Coupe 3.8 Base,,66770,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,16000
54,BMW,M6 Base,2016,73500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,33200
55,Jeep,Gladiator Rubicon,2022,12100,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,53900
56,Mercedes-Benz,C-Class C 300 4MATIC Sport,2015,70582,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,27000
57,,Thunderbird Deluxe,2005,46508,,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,32900
58,Land,Rover Range Rover Sport HSE,2008,122000,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,8000
59,Mercedes-Benz,SL-Class SL500 Roadster,2001,153000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,4900
60,Mercedes-Benz,GLS 450 Base 4MATIC,2017,44147,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,29999
61,Porsche,Cayenne Base,2017,86202,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,23500
62,Chevrolet,Corvette Stingray w/2LT,2022,9000,,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,98900
63,Chevrolet,SSR Base,2006,87500,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,10000
64,BMW,,2013,61145,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,36800
65,Chevrolet,Corvette Stingray w/2LT,2022,1100,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,193063
66,Toyota,86 860 Special Edition,2016,17500,Hybrid,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,47500
67,Mercedes-Benz,G-Class G 550 4MATIC,2019,22500,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,99000
68,Toyota,Camry SE,2011,170000,,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,7500
69,Mercedes-Benz,,2013,76500,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,30500
70,McLaren,570S Spider,2023,3254,Gasoline,3.8L V8 32V MPFI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,92500
71,Toyota,Highlander XLE,2019,55018,,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,32000
72,,Sequoia Platinum,2023,2958,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,65998
73,Ford,F-250 King Ranch,2019,40200,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,48000
74,Honda,CR-V EX-L,2023,,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,54500
75,,911 Carrera 4S,2014,,Gasoline,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,63000
76,Toyota,Camry Solara SLE,2013,137000,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,13999
77,Land,,2012,80000,,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,22000
78,Toyota,4Runner SR5,2009,186117,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,8500
79,,M3 Base,2018,13750,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,55000
80,Audi,,2015,23400,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,95000
81,Toyota,Camry LE,2000,90400,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,11999
82,Audi,Q5 2.0T Premium Plus,2019,38360,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,43500
83,Ford,Mustang Premium,2007,192000,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,6700
84,Ford,Expedition Limited,2022,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,53900
85,Ford,Mustang EcoBoost Premium,2021,17000,Gasoline,,10-Speed A/T,27599
86,Mercedes-Benz,E-Class E 350,2014,83112,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,18750
87,RAM,2500 Big Horn,2012,95400,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,27899
88,Jeep,,2002,110000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,9500
89,,Focus RS Base,2017,29720,,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,29500
90,MINI,Countryman Cooper S ALL4,2017,26000,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,39995
91,Lexus,NX 300 Base,2018,6449,,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,24995
92,,Mustang GT,2006,160000,Gasoline,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,4500
93,Toyota,,2010,1500,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,4900
94,BMW,430 i,2017,46300,,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,29900
95,INFINITI,,2016,95400,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,15999
96,Dodge,,2005,153692,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,8300
97,Ford,,2018,63500,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,26500
98,,Xterra S,2007,,,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,M/T,9500
99,Chevrolet,Tahoe LT,2020,,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,39000
100,Audi,A8 L 55,2014,85500,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,17500
101,Mercedes-Benz,S-Class S 63 AMG,2015,41000,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,65000
102,,,2010,167500,Gasoline,320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,13490
103,,,2016,9738,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,62500
104,BMW,M3 Base,2001,69764,,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,6800
105,Mercedes-Benz,E-Class E 550,2014,15000,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,41950
106,Jaguar,XJ8 L,2023,10000,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,92500
107,Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17300,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,45000
108,Audi,,2016,40000,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,22000
109,Cadillac,Escalade Platinum,2019,98650,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,29500
110,BMW,M8 Gran Coupe Competition,2020,35400,,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,87500
111,Acura,ILX Premium Package,2021,16113,,2.4L I4 16V GDI DOHC,6-Speed Automatic,29998
112,,,2013,72900,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,17498
113,Ford,Excursion Limited,2003,116157,Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,10900
114,Lincoln,MKZ Base,2015,79422,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,16800
115,Kia,Sportage LX,2010,100730,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,9995
116,BMW,X5 PHEV xDrive45e,2023,2235,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,95000
117,,CLA-Class CLA 250,2016,76753,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,13999
118,Mercedes-Benz,SL-Class SL 550,2014,51808,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,54000
119,Ford,F-350 Platinum,2013,162000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,11000
120,Jeep,,2010,131986,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,7000
121,,CTS Performance,2016,91545,Gasoline,,6-Speed A/T,41927
122,Acura,TLX,2020,60854,Gasoline,2.0 Liter DOHC Turbo,Automatic,19425
123,Jeep,Grand Cherokee L Limited,2021,25348,,3.6L V6 24V MPFI DOHC,8-Speed Automatic,43663
124,INFINITI,QX70 Base,2013,163000,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,17999
125,Ford,,2017,67500,,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,27500
126,Dodge,Durango GT,2022,16554,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,18749
127,Chevrolet,Corvette Base,2008,,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,12900
128,Volvo,S80 3.2,2001,90050,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,15900
129,Mercedes-Benz,E-Class E 350,2012,58000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,18000
130,,CTS Base,2005,95000,Gasoline,255.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,16000
131,Toyota,,,98000,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,18000
132,Ford,Transit Connect XLT,2015,120000,,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,29000
133,GMC,Sierra 2500 Base,2009,124542,E85 Flex Fuel,6.0L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,3900
134,,Gladiator Sport,2021,61341,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,32455
135,Dodge,Dakota Big Horn/Lone Star,2005,133510,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,6500
136,Mitsubishi,,2010,175700,,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,6500
137,Ford,F-250 Lariat,2018,81000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,26000
138,Mercedes-Benz,A-Class A 220 4MATIC,2017,38900,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,36500
139,Rolls-Royce,Ghost Base,2018,56985,Gasoline,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,27671
140,Audi,Q5 2.0T Premium Plus,2017,73350,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,16500
141,Toyota,Camry Solara SLE V6,2005,161900,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,5700
142,,911 Turbo S,2013,48000,,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,51500
143,Ford,Ranger XLT,2019,117000,Gasoline,270.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,28495
144,,X3 xDrive30i,,43277,,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,29995
145,Maserati,Ghibli S Q4,,25793,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,,46750
146,Porsche,911 Carrera,2015,31500,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,71200
147,,Acadia SLT-1,2019,39192,Gasoline,2.3L I4 16V GDI DOHC Turbo,9-Speed Automatic,33995
148,Chevrolet,Avalanche 1500 LTZ,2007,179200,Gasoline,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,26500
149,INFINITI,Q60 3.0t Red Sport 400,2020,3300,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,51900
150,Nissan,,2022,13000,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,29995
151,Pontiac,Solstice GXP,2007,87600,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,11000
152,GMC,Yukon XL SLT,2016,35134,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,24999
153,BMW,,2016,90000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,19000
154,Saturn,Sky Red Line,2008,184000,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,13250
155,BMW,540 i xDrive,2017,69404,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,101000
156,Toyota,Sequoia Platinum,2021,17900,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,40000
157,INFINITI,QX60 Base,2018,51335,,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,27500
158,Audi,Q7 3.0T Premium Plus,2017,70582,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,24700
159,,,2022,9281,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,36000
160,,Romeo Giulia Base,2016,100080,,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,7945
161,Tesla,Model S Long Range,2021,9500,,670.0HP Electric Motor Electric Fuel System,A/T,89999
162,,GT-R Premium,2009,121219,Gasoline,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,15900
163,Ford,Expedition Max King Ranch,2021,52673,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,55000
164,,RDX w/A-Spec Package,2023,39517,Gasoline,2.0 Liter DOHC Turbo,Automatic,29645
165,Porsche,Cayenne GTS Coupe AWD,2011,10500,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,39500
166,INFINITI,,2014,84272,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,12750
167,Toyota,Tundra SR5,2016,66000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,31000
168,Chevrolet,Silverado 1500 RST,2013,85500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,17000
169,Chevrolet,,2011,52253,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,62499
170,,A4 2.0T Premium,2011,102000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,18900
171,,GX 460 Base,2021,16500,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,52500
172,Lincoln,,2019,,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,52500
173,Land,Rover Range Rover Sport HSE Dynamic,2018,54800,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,31000
174,Porsche,Taycan Turbo,2023,1794,,Electric Motor Electric Fuel System,2-Speed A/T,83500
175,Bentley,Continental GTC Base,2013,71280,Gasoline,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,6-Speed A/T,15000
176,,Leaf S,2020,14330,,Electric,1-Speed Automatic,52999
177,Toyota,Highlander SE,2009,87500,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,9999
178,Ford,Mustang GT Premium,2017,94000,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,20995
179,Ford,,2004,102000,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,8900
180,Mercedes-Benz,,2015,57912,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,21500
181,Jeep,Wrangler Unlimited,2005,100574,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,15400
182,,S-10 LS Crew Cab,2001,146000,Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,9500
183,,Mustang V6,2013,68200,,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,15750
184,Lexus,LC 500 Base,2021,6523,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,54500
185,Ford,Expedition EL King Ranch,2019,63400,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,32500
186,Porsche,911 Carrera,2023,7200,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,48000
187,Dodge,Ram 1500 Laramie Mega Cab,2006,178416,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,5990
188,Mercedes-Benz,E-Class E 350 4MATIC,2021,23950,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,39900
189,,Suburban Premier,,72839,Gasoline,,10-Speed Automatic,28895
190,INFINITI,G37 S Sport,2012,7200,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,50000
191,,Cayenne Turbo S,2014,9822,Gasoline,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,60995
192,Ford,GT-R Premium,2009,51400,Gasoline,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,13500
193,Porsche,Boxster Base,2005,121800,Gasoline,201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel,A/T,8900
194,,Model 3 Standard Range Plus,2021,42094,,Electric Motor Electric Fuel System,A/T,32750
195,Toyota,Sequoia Limited,2008,269885,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,7200
196,Kia,Sorento SX,2011,11649,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,21000
197,Mercedes-Benz,Metris Base,2020,26000,,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,39000
198,Jeep,Wrangler Unlimited Sahara,2019,62197,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,33950
199,Bentley,Continental GT Base,2011,18000,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,89000
200,BMW,X1 xDrive 28i,2015,79950,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,17000
201,Ford,,2017,75000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,28500
202,Porsche,911 Carrera 4S,2001,59528,,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,80140
203,Alfa,Romeo Stelvio Ti Sport,2020,,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,49900
204,Chevrolet,Suburban 1500 LTZ,2015,,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,18000
205,Toyota,,2020,32199,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,48900
206,Ford,Mustang EcoBoost Premium,2017,91000,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,36000
207,Cadillac,,2011,86281,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,14900
208,Mercedes-Benz,GLS 450 Base 4MATIC,2022,15000,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,28500
209,Audi,Q5 2.0T Premium Plus,2016,69764,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,29950
210,Chevrolet,Silverado 1500 1LT,2014,71448,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,28000
